,year,title_status,drive,condition
2200,2007.0,0,1,2
2201,2010.0,0,1,2
2203,2017.0,0,0,0
2204,2012.0,0,0,2
2205,2007.0,0,0,2
2206,2010.0,0,0,2
2207,2008.0,0,0,2
2208,2008.0,0,0,2
2213,2008.0,0,1,2
2216,2016.0,0,0,0
2217,2016.0,0,0,4
2218,2016.0,0,0,0
2220,2016.0,0,0,0
2221,2016.0,0,0,0
2257,2011.0,0,0,0
2274,2011.0,0,0,0
2288,2005.0,0,0,0
2290,2013.0,0,1,0
2291,2017.0,0,0,3
2292,2019.0,0,0,0
2296,2007.0,0,0,1
2302,2005.0,0,0,2
2312,2014.0,0,2,2
2315,2013.0,0,1,2
2317,2009.0,0,1,2
2339,2008.0,4,1,2
2374,2009.0,0,0,2
2380,2008.0,0,0,2
2384,2009.0,0,0,0
2385,2017.0,0,0,0
2386,2012.0,0,0,0
2387,2016.0,0,1,0
2390,2019.0,0,0,0
2391,2016.0,0,1,0
2392,2016.0,0,0,0
2393,2016.0,0,0,0
2394,2017.0,0,1,0
2395,2010.0,0,0,0
2396,2006.0,0,0,0
2397,2007.0,0,0,0
2398,2011.0,0,0,0
2399,2016.0,0,1,0
2400,2014.0,0,0,0
2401,2013.0,0,1,0
2403,2014.0,0,2,0
2405,2016.0,0,0,0
2406,2012.0,0,1,0
2407,2014.0,0,0,0
2409,2014.0,0,0,0
2411,2017.0,0,0,0
2412,2016.0,0,0,0
2413,2015.0,0,0,0
2417,2016.0,0,0,0
2418,2019.0,0,1,0
2419,2013.0,0,0,0
2420,2013.0,0,1,0
2421,2019.0,0,1,0
2422,2018.0,0,1,0
2423,2016.0,0,0,0
2424,2018.0,0,1,0
2425,2016.0,0,0,0
2427,2016.0,0,0,0
2429,2013.0,0,0,0
2431,2016.0,0,0,0
2433,2016.0,0,0,0
2434,2016.0,0,0,0
2439,2019.0,0,0,0
2441,2014.0,0,2,0
2442,2017.0,0,0,0
2443,2009.0,0,0,0
2444,2019.0,0,0,0
2445,2015.0,0,1,0
2447,2017.0,0,2,0
2448,2018.0,0,1,0
2449,2019.0,0,0,0
2450,2018.0,0,1,0
2451,2015.0,0,0,0
2452,2015.0,0,0,0
2453,2016.0,0,0,0
2455,2016.0,0,0,0
2456,2016.0,0,1,0
2458,2016.0,0,0,0
2459,2010.0,0,1,0
2460,2019.0,0,1,0
2461,2019.0,0,1,0
2462,2009.0,0,0,0
2463,2014.0,0,0,0
2464,2019.0,0,1,0
2465,2019.0,0,1,0
2477,2013.0,0,1,2
2481,2007.0,0,2,2
2488,2015.0,0,1,0
2507,2009.0,0,0,3
2513,2006.0,1,0,2
2514,2003.0,0,0,2
2515,2013.0,0,1,2
2516,2008.0,0,2,2
2527,2014.0,0,1,2
2534,2009.0,0,0,2
2535,2008.0,0,0,2
2542,2016.0,0,0,0
2543,2011.0,0,0,0
2544,2011.0,0,2,2
2550,2011.0,0,2,0
2552,2010.0,0,0,0
2580,2009.0,0,2,2
2604,2013.0,0,1,2
2619,2012.0,0,0,0
2652,2007.0,0,1,0
2665,2006.0,0,0,1
2667,2014.0,0,0,2
2668,2014.0,0,1,2
2669,2008.0,0,1,2
2675,2015.0,0,0,2
2696,2000.0,0,0,2
2700,2006.0,0,2,2
2703,2012.0,0,0,2
2704,2013.0,0,2,2
2706,2003.0,0,2,2
2707,2015.0,0,2,2
2708,2015.0,0,2,2
2711,2007.0,0,2,2
2713,2006.0,0,2,2
2715,2014.0,0,2,2
2716,2010.0,0,0,2
2717,2003.0,0,1,2
2720,2004.0,0,0,2
2722,2012.0,0,0,2
2723,2015.0,0,2,2
2724,2015.0,0,2,2
2725,2004.0,0,2,2
2726,2013.0,0,0,2
2728,2004.0,0,2,2
2730,2005.0,0,2,2
2731,2006.0,0,0,2
2732,2010.0,0,0,2
2733,2003.0,4,1,2
2734,2010.0,0,0,2
2737,2013.0,0,0,2
2738,2008.0,0,0,2
2739,2014.0,0,1,2
2740,2009.0,0,0,2
2742,2014.0,0,1,2
2743,2013.0,0,0,2
2744,2006.0,0,0,2
2745,2014.0,0,0,2
2746,2012.0,0,0,2
2747,2014.0,0,0,2
2748,2009.0,0,1,2
2750,2009.0,0,0,2
2751,2009.0,0,1,2
2752,2016.0,0,0,2
2753,2017.0,0,0,2
2754,2005.0,0,2,2
2755,2010.0,0,1,2
2756,2007.0,0,2,2
2757,2005.0,0,0,2
2758,2012.0,0,0,2
2759,2010.0,0,0,2
2760,2009.0,0,0,2
2761,2011.0,3,0,5
2762,2015.0,0,1,2
2763,2009.0,0,1,2
2764,2007.0,0,2,2
2765,2012.0,0,0,2
2766,2011.0,0,0,2
2767,2006.0,0,0,2
2768,2013.0,0,1,2
2769,2011.0,0,0,2
2770,2013.0,0,0,0
2771,2011.0,0,0,2
2772,2013.0,0,0,2
2773,2010.0,0,1,2
2774,2008.0,0,0,2
2775,2008.0,0,0,2
2777,2010.0,0,1,2
2778,2012.0,0,0,2
2780,2002.0,0,1,2
2781,2012.0,0,1,2
2782,2011.0,0,0,2
2783,2011.0,0,1,2
2785,2016.0,0,1,2
2786,2013.0,3,1,5
2787,2017.0,0,0,0
2788,2006.0,0,2,2
2789,2008.0,0,1,2
2791,2012.0,0,0,2
2792,2010.0,0,0,2
2793,2007.0,0,0,2
2794,2009.0,0,0,0
2796,2012.0,0,1,2
2797,2011.0,0,0,2
2798,2006.0,0,0,2
2800,1991.0,0,0,2
2801,1990.0,0,0,2
2802,2010.0,0,0,2
2803,2012.0,0,0,2
2804,2011.0,0,0,2
2805,2001.0,0,1,2
2806,2005.0,0,2,2
2807,2009.0,0,0,2
2808,2008.0,0,0,2
2809,2008.0,0,0,2
2810,2001.0,0,2,2
2812,2010.0,0,0,2
2813,2015.0,0,2,2
2814,2010.0,0,0,2
2815,2013.0,0,0,2
2817,2007.0,0,1,2
2818,2010.0,0,1,2
2819,2017.0,0,0,0
2820,2012.0,0,0,2
2822,2007.0,0,0,2
2823,2010.0,0,0,2
2824,2008.0,0,0,2
2825,2008.0,0,0,2
2830,2016.0,0,0,0
2849,1956.0,2,2,2
2850,2008.0,0,0,0
2851,2011.0,0,0,0
2853,2012.0,0,0,2
2859,2005.0,0,0,0
2860,2013.0,0,1,0
2865,2008.0,0,0,2
2894,2019.0,0,1,0
2901,2010.0,0,1,2
2908,2019.0,0,1,0
2909,2010.0,0,1,0
2913,2014.0,0,0,2
2914,2012.0,0,0,2
2915,2012.0,0,0,2
2916,2012.0,0,0,2
